Product_ID,Compressor_Type,Product_Name,Power_Rating(HP),Capacity(CFM),Pressure_Rating(PSI),Date_of_Sale,Sales_Channel,Sales_Region,Unit_Price,Quantity_Sold,Total_Sales_Revenue,Customer_ID,Company_Name,Contact_Person,Contact_Email,Contact_Phone,Installation_Date,Service_Contracts,Maintenance_History,Warranty_Information,Energy_Consumption(kWh),Efficiency_Rating(%),Operating_Cost,Environmental_Impact,Market_Trends,Customer_Satisfaction_Ratings,Marketing_Campaigns,Promotional_Discounts,Advertising_Channels,Industry_Regulations,industries
1010,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,85,11,133,2023-10-02,Online Platform,South Region,14421,6,86526,111,"Wallace, Calderon and Hartman",Zachary Martin,michellekelly@example.org,797.762.0536x4069,2023-11-28,No,Quarterly Maintenance,3 years warranty,6.7,79.51,10197.66,Low emissions,Stable,4.0,Online Ads,15% off for first-time buyers,Mobile app for remote monitoring,No specific regulations,General Engineering
1011,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,150,403,148,2023-11-23,Distributor,West Region,15355,1,15355,112,"Andrews, Phillips and Turner",Daniel Reeves,hpayne@example.net,001-405-390-7136,2023-11-27,No,Regular maintenance every 6 months,2 years warranty,47.9,70.99,8842.62,Minimal environmental impact,Declining,4.7,Online Ads,"Free shipping for orders above $10,000",Social media campaigns,No specific regulations,Automotive
1012,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,116,14,126,2023-09-06,Direct Sales,South Region,12465,9,112185,113,James-Lopez,Rachel Gibson,powellmark@example.com,870.265.6380,2023-11-19,No,Annual service contract,2 years warranty,5.5,80.25,8505.04,Minimal environmental impact,Stable,4.9,Online Ads,"Free shipping for orders above $10,000",Social media campaigns,Compliance with industry standards,Food & Beverages
1013,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,92,10,112,2023-10-08,Distributor,West Region,8789,1,8789,114,"Williams, Wilkins and Hoffman",Jordan Webster,aramirez@example.org,660.400.5763x118,2023-10-11,Yes,Regular maintenance every 6 months,5 years warranty,1.6,86.2,4572.59,Minimal environmental impact,Stable,3.8,Online Ads,15% off for first-time buyers,Social media campaigns,Compliance with industry standards,Engine Starting
1014,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,87,735,225,2023-12-03,Online Platform,West Region,53942,1,53942,115,Simmons Group,Megan Wright,francisariana@example.com,(880)917-0434x098,2023-12-08,Yes,Regular maintenance every 6 months,2 years warranty,154.5,76.68,39332.73,Minimal environmental impact,Declining,5.0,Email Campaign,"Free shipping for orders above $10,000",Mobile app for remote monitoring,Compliance with industry standards,Food Processing
1015,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,42,274,178,2023-04-09,Distributor,North Region,16245,5,81225,116,Robertson-Johnson,Kaitlyn Williams,wwhite@example.net,7365868064,2023-07-09,No,Annual service contract,1 year warranty,69.8,75.26,11290.77,Environmentally friendly design,Stable,4.4,Email Campaign,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Food Processing
1016,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,32,5,116,2023-11-23,Online Platform,West Region,11916,2,23832,117,"Griffin, Bray and Elliott",Jordan Huerta,gcruz@example.com,(648)458-7616,2023-12-05,Yes,Regular maintenance every 6 months,1 year warranty,1.4,94.98,6002.57,Environmentally friendly design,Growing,4.9,Online Ads,15% off for first-time buyers,Mobile app for remote monitoring,No specific regulations,Engine Starting
1017,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,132,494,156,2022-12-15,Direct Sales,North Region,36852,2,73704,118,Edwards-Walker,April Brown,rachelpeters@example.net,(310)253-7839,2023-04-29,Yes,Annual service contract,5 years warranty,193.2,88.2,22410.29,Low emissions,Stable,4.9,Email Campaign,10% off for bulk orders,Mobile app for remote monitoring,Compliance with industry standards,Textile
1018,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EN SERIES SCREW AIR COMPRESSOR,100,97,119,2023-05-12,Distributor,North Region,17305,9,155745,119,Evans Inc,Ian Adams,bsmith@example.com,+1-204-852-8212x09722,2023-08-25,No,Quarterly Maintenance,2 years warranty,9.9,88.48,9991.29,Minimal environmental impact,Growing,5.0,Email Campaign,"Free shipping for orders above $10,000",Social media campaigns,Compliance with industry standards,Automotive
1019,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,134,4,106,2022-12-25,Online Platform,North Region,11374,9,102366,120,Lewis-Floyd,Kathy Martinez,jmurray@example.com,+1-973-458-6029x14754,2023-05-07,Yes,Quarterly Maintenance,5 years warranty,2.1,87.97,6200.96,Environmentally friendly design,Stable,4.1,Email Campaign,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Automobile
1020,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,143,25,171,2023-12-07,Direct Sales,South Region,19957,6,119742,121,"Wilson, Simpson and Harris",Justin Chase,thomas39@example.net,001-213-343-5497x76633,2023-12-08,Yes,Annual service contract,2 years warranty,2.9,94.63,15511.38,Minimal environmental impact,Declining,3.8,Trade Shows,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Food & Beverages
1021,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,46,875,181,2023-06-28,Direct Sales,East Region,34310,3,102930,122,"Gillespie, Green and Reilly",Brooke Baxter,leebobby@example.org,853-541-3275x133,2023-08-11,Yes,Annual service contract,1 year warranty,107.4,92.24,19493.44,Low emissions,Growing,4.5,Email Campaign,15% off for first-time buyers,Industry magazines,No specific regulations,Paper
1022,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,178,81,104,2023-05-11,Online Platform,East Region,23883,9,214947,123,Hahn Group,Christie Lyons,kfreeman@example.org,001-995-765-6351x81188,2023-10-20,No,Regular maintenance every 6 months,5 years warranty,73.6,71.53,14226.93,Environmentally friendly design,Growing,4.4,Email Campaign,15% off for first-time buyers,Social media campaigns,No specific regulations,Food Processing
1023,OIL LUBRICATED PISTON AIR COMPRESSORS,CUSTOM BUILT COMPRESSORS,186,318,194,2023-07-03,Online Platform,East Region,19932,3,59796,124,Ramirez LLC,Carrie Nelson,schmidtraymond@example.net,+1-400-312-0919,2023-09-14,Yes,Quarterly Maintenance,3 years warranty,48.1,74.44,11337.44,Low emissions,Growing,4.7,Trade Shows,15% off for first-time buyers,Social media campaigns,Compliance with industry standards,Automobile
1024,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,121,21,152,2023-10-16,Online Platform,North Region,13585,7,95095,125,Brady LLC,April Mccarthy,joseph87@example.org,(864)201-6917x81453,2023-10-27,No,Quarterly Maintenance,1 year warranty,5.9,89.01,7994.71,Minimal environmental impact,Stable,4.2,Email Campaign,10% off for bulk orders,Mobile app for remote monitoring,Compliance with industry standards,Pet Blowing
1025,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,126,12,169,2023-05-17,Distributor,North Region,15193,3,45579,126,"Mitchell, Rogers and Murray",Katherine Griffith,richardgrace@example.org,(707)490-7188x3639,2023-11-20,Yes,Quarterly Maintenance,3 years warranty,6.2,81.95,9723.19,Low emissions,Growing,4.2,Email Campaign,15% off for first-time buyers,Social media campaigns,Compliance with industry standards,Automotive
1026,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EN SERIES SCREW AIR COMPRESSOR,42,133,173,2023-06-05,Direct Sales,East Region,12629,1,12629,127,Hill-Massey,Sarah Alexander,estradaluke@example.net,2678766674,2023-06-11,Yes,Regular maintenance every 6 months,3 years warranty,40.6,85.45,8704.34,Minimal environmental impact,Declining,3.9,Email Campaign,10% off for bulk orders,Industry magazines,Compliance with industry standards,Fabrication Workshops
1027,OIL LUBRICATED PISTON AIR COMPRESSORS,CUSTOM BUILT COMPRESSORS,31,1359,199,2023-07-22,Distributor,South Region,149827,7,1048789,128,Franklin-Knight,Brad Kline,quinnmeredith@example.com,001-216-255-4961x8334,2023-08-16,Yes,Annual service contract,5 years warranty,83.6,82.93,82037.05,Low emissions,Declining,4.4,Email Campaign,10% off for bulk orders,Industry magazines,No specific regulations,Textile
1028,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,26,13,101,2023-01-06,Direct Sales,East Region,11896,1,11896,129,Foster Inc,Michele Morris,donna68@example.org,260.299.8253,2023-07-22,Yes,Quarterly Maintenance,2 years warranty,2.4,78.32,6328.37,Low emissions,Stable,4.7,Online Ads,"Free shipping for orders above $10,000",Industry magazines,No specific regulations,Metal Fabrication
1029,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,139,852,214,2023-01-15,Direct Sales,West Region,92837,6,557022,130,"Levine, Walker and Castillo",David Warner,donald37@example.org,(489)433-6981x1385,2023-11-05,No,Quarterly Maintenance,5 years warranty,161.2,90.3,62507.38,Low emissions,Declining,4.2,Email Campaign,10% off for bulk orders,Social media campaigns,Compliance with industry standards,Fabrication Workshops
1030,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EN SERIES SCREW AIR COMPRESSOR,197,271,169,2023-01-28,Distributor,West Region,12590,4,50360,131,"David, Boyd and Garza",Edward Mcintyre,james02@example.org,+1-238-971-0094,2023-06-28,No,Quarterly Maintenance,5 years warranty,46.9,86.77,9546.12,Low emissions,Growing,4.7,Online Ads,10% off for bulk orders,Mobile app for remote monitoring,No specific regulations,Textile
1031,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,62,19,111,2023-10-08,Distributor,West Region,13587,10,135870,132,"Fischer, Reynolds and Henry",Lonnie Logan,millermichelle@example.org,391-756-3432,2023-11-15,No,Regular maintenance every 6 months,5 years warranty,4.6,90.2,10366.41,Minimal environmental impact,Stable,4.2,Trade Shows,10% off for bulk orders,Mobile app for remote monitoring,Compliance with industry standards,Textile
1032,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EN SERIES SCREW AIR COMPRESSOR,170,99,137,2022-12-25,Direct Sales,East Region,13957,7,97699,133,Ortiz LLC,Robert Walker,tanyacamacho@example.org,+1-725-502-2658,2023-06-20,No,Annual service contract,3 years warranty,19.1,93.51,7072.36,Environmentally friendly design,Declining,4.1,Email Campaign,15% off for first-time buyers,Social media campaigns,No specific regulations,Food Processing
1033,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EN SERIES SCREW AIR COMPRESSOR,118,92,118,2023-02-01,Direct Sales,North Region,19167,8,153336,134,Hicks-Torres,Meredith Watson,qellis@example.org,+1-959-352-8511x9662,2023-02-23,No,Quarterly Maintenance,5 years warranty,19.3,74.04,11652.51,Environmentally friendly design,Stable,4.4,Online Ads,10% off for bulk orders,Mobile app for remote monitoring,Compliance with industry standards,Textile
1034,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,136,736,220,2023-09-01,Distributor,North Region,91722,9,825498,135,Meadows LLC,Claudia Padilla,jessica39@example.com,5948909302,2023-10-31,Yes,Annual service contract,1 year warranty,80.3,81.67,71720.6,Minimal environmental impact,Growing,3.9,Trade Shows,15% off for first-time buyers,Industry magazines,No specific regulations,Textile
1035,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,29,10,112,2023-08-11,Online Platform,West Region,10594,3,31782,136,"Walton, Bradshaw and Perry",Kyle Taylor,imoreno@example.net,457-691-1972x90365,2023-10-02,No,Quarterly Maintenance,3 years warranty,1.1,78.35,6363.64,Environmentally friendly design,Declining,3.6,Online Ads,10% off for bulk orders,Mobile app for remote monitoring,No specific regulations,Food & Beverages
1036,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,34,354,180,2023-04-19,Direct Sales,West Region,15556,3,46668,137,Matthews-Davis,Renee Carpenter,gina48@example.net,486-680-5113,2023-09-11,No,Quarterly Maintenance,1 year warranty,70.4,87.52,10000.01,Low emissions,Stable,3.8,Email Campaign,"Free shipping for orders above $10,000",Mobile app for remote monitoring,No specific regulations,Fabrication Workshops
1037,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,102,8,97,2023-06-11,Distributor,North Region,8665,2,17330,138,Smith LLC,James Ellis,crystalmathews@example.net,741-748-2361,2023-07-09,No,Annual service contract,2 years warranty,2.7,88.17,6007.5,Environmentally friendly design,Stable,4.6,Email Campaign,"Free shipping for orders above $10,000",Mobile app for remote monitoring,Compliance with industry standards,Food & Beverages
1038,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,38,19,134,2023-10-05,Distributor,East Region,13848,2,27696,139,Schmidt-Flores,Ana Stokes,qvaughan@example.com,001-232-502-2310x370,2023-10-25,No,Quarterly Maintenance,1 year warranty,6.3,93.73,10224.19,Environmentally friendly design,Growing,3.7,Trade Shows,15% off for first-time buyers,Industry magazines,No specific regulations,General Engineering
1039,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EN SERIES SCREW AIR COMPRESSOR,90,127,170,2023-07-21,Direct Sales,South Region,18196,4,72784,140,Moreno-Manning,George Vega,rachael15@example.net,6798248538,2023-10-26,Yes,Annual service contract,5 years warranty,45.0,82.45,10848.33,Low emissions,Growing,4.7,Email Campaign,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Fabrication Workshops
1040,OIL LUBRICATED PISTON AIR COMPRESSORS,CUSTOM BUILT COMPRESSORS,199,876,298,2023-12-05,Distributor,West Region,21760,7,152320,141,Hill Inc,Stephanie Flores,blarson@example.org,7424603919,2023-12-05,No,Annual service contract,2 years warranty,100.9,82.62,12230.44,Minimal environmental impact,Growing,4.6,Trade Shows,10% off for bulk orders,Social media campaigns,Compliance with industry standards,Concrete Pumps
1041,OIL LUBRICATED PISTON AIR COMPRESSORS,CUSTOM BUILT COMPRESSORS,51,609,159,2023-12-03,Direct Sales,North Region,15616,2,31232,142,Benson Ltd,Catherine Garza,millerdarrell@example.org,(309)246-1085,2023-12-04,No,Quarterly Maintenance,3 years warranty,75.8,83.95,10607.52,Low emissions,Declining,4.9,Trade Shows,"Free shipping for orders above $10,000",Mobile app for remote monitoring,No specific regulations,Metal Fabrication
1042,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,169,12,143,2023-08-03,Direct Sales,West Region,14188,3,42564,143,"Morrow, Taylor and Gonzales",Tina Logan,asmith@example.org,443-583-0513x2173,2023-08-06,Yes,Quarterly Maintenance,3 years warranty,5.1,71.03,8718.05,Environmentally friendly design,Growing,4.5,Trade Shows,10% off for bulk orders,Industry magazines,No specific regulations,Metal Fabrication
1043,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,108,3,116,2023-10-12,Distributor,South Region,9028,5,45140,144,"Thompson, Burke and Valdez",William Cunningham,melissa51@example.com,001-962-247-1547,2023-11-03,No,Annual service contract,5 years warranty,1.2,82.07,4796.58,Minimal environmental impact,Declining,4.8,Email Campaign,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Paint Shot
1044,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,154,10,127,2023-11-04,Online Platform,South Region,13608,2,27216,145,"Downs, Williams and Brown",Darlene Reed,mark98@example.net,375-432-8306x979,2023-11-06,No,Regular maintenance every 6 months,1 year warranty,5.3,70.85,7786.66,Environmentally friendly design,Declining,4.1,Trade Shows,10% off for bulk orders,Mobile app for remote monitoring,Compliance with industry standards,Hydel
1045,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,180,11,101,2023-06-05,Online Platform,North Region,10423,3,31269,146,Mitchell PLC,Theresa Williams,kelly34@example.net,446-825-5853,2023-09-24,No,Annual service contract,5 years warranty,1.6,78.03,6757.62,Low emissions,Stable,4.5,Email Campaign,"Free shipping for orders above $10,000",Social media campaigns,No specific regulations,Concrete Pumps
1046,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,34,11,118,2023-07-19,Online Platform,East Region,11664,9,104976,147,Evans-Fisher,Kevin Moore,dorothy31@example.com,001-599-482-0581x4560,2023-08-08,Yes,Annual service contract,3 years warranty,3.7,71.06,6572.87,Low emissions,Stable,4.0,Email Campaign,10% off for bulk orders,Social media campaigns,Compliance with industry standards,Pet Blowing
1047,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,78,27,182,2023-09-11,Distributor,South Region,10787,9,97083,148,Evans-Ritter,Jacob Randall,matthewmcneil@example.net,920-644-6251x28212,2023-11-14,No,Regular maintenance every 6 months,5 years warranty,3.5,80.29,8199.76,Minimal environmental impact,Growing,3.9,Email Campaign,10% off for bulk orders,Mobile app for remote monitoring,No specific regulations,Metal Fabrication
1048,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,163,15,132,2023-09-01,Online Platform,South Region,12396,6,74376,149,"Dawson, Price and Middleton",Amanda Mcguire,shirley47@example.com,(653)284-7797,2023-11-30,Yes,Annual service contract,1 year warranty,3.4,81.66,8162.25,Minimal environmental impact,Growing,4.5,Trade Shows,"Free shipping for orders above $10,000",Industry magazines,Compliance with industry standards,Mining
1049,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,122,20,92,2023-09-08,Direct Sales,North Region,12664,4,50656,150,"Thornton, Wallace and Williams",Heather Williams,upalmer@example.net,+1-446-871-3204x422,2023-09-11,Yes,Annual service contract,2 years warranty,3.8,85.26,8882.38,Low emissions,Stable,4.3,Trade Shows,"Free shipping for orders above $10,000",Industry magazines,No specific regulations,Food & Beverages
1050,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,67,15,111,2023-10-29,Direct Sales,West Region,9765,8,78120,151,"Johnson, Jennings and Garcia",Cynthia Jones,tyler63@example.net,734-475-7375x7149,2023-11-08,No,Annual service contract,2 years warranty,1.6,93.04,5681.94,Low emissions,Stable,4.2,Email Campaign,10% off for bulk orders,Social media campaigns,No specific regulations,Automotive
1051,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,88,19,134,2023-09-12,Online Platform,East Region,13844,2,27688,152,Stone-Hunt,Savannah Collins,ashleyjones@example.org,683.248.9630x424,2023-09-25,No,Quarterly Maintenance,5 years warranty,2.9,81.34,7747.6,Environmentally friendly design,Stable,4.8,Trade Shows,"Free shipping for orders above $10,000",Social media campaigns,No specific regulations,Automobile
1052,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,173,736,158,2023-06-30,Direct Sales,East Region,86700,4,346800,153,Smith-Mason,Dylan Hill,ifarmer@example.com,521.713.6065x8581,2023-08-31,No,Regular maintenance every 6 months,5 years warranty,140.1,70.79,55485.4,Environmentally friendly design,Growing,4.3,Email Campaign,10% off for bulk orders,Social media campaigns,Compliance with industry standards,Automotive
1053,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,194,9,98,2023-04-17,Distributor,South Region,10285,6,61710,154,"Jones, Garcia and George",John Davis,qjimenez@example.com,001-506-627-0303,2023-04-26,Yes,Annual service contract,2 years warranty,1.7,89.29,6399.08,Minimal environmental impact,Growing,4.9,Online Ads,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Circuit Breakers
1054,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,178,429,138,2023-11-08,Online Platform,West Region,21897,3,65691,155,Montgomery Inc,Kathleen Harris,youngadam@example.com,332-645-0694x558,2023-12-05,Yes,Quarterly Maintenance,3 years warranty,73.2,73.95,15838.42,Low emissions,Stable,3.6,Email Campaign,15% off for first-time buyers,Mobile app for remote monitoring,No specific regulations,Paper
1055,OIL LUBRICATED PISTON AIR COMPRESSORS,CUSTOM BUILT COMPRESSORS,76,561,232,2023-11-07,Distributor,South Region,55543,7,388801,156,"Torres, Houston and Richardson",Samantha Morrison,carolyntaylor@example.net,(322)956-1530x37230,2023-11-26,Yes,Annual service contract,5 years warranty,79.9,72.34,32825.69,Minimal environmental impact,Growing,4.7,Email Campaign,"Free shipping for orders above $10,000",Industry magazines,Compliance with industry standards,Marine
1056,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,148,11,169,2023-03-24,Direct Sales,West Region,17741,3,53223,157,Smith LLC,Nancy Chavez,cunninghampaul@example.com,2587147596,2023-12-08,No,Regular maintenance every 6 months,5 years warranty,4.8,70.04,12501.7,Environmentally friendly design,Stable,3.8,Email Campaign,10% off for bulk orders,Industry magazines,No specific regulations,Metal Fabrication
1057,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,63,17,126,2023-08-11,Online Platform,East Region,12856,9,115704,158,Stewart LLC,Craig Johnson,mporter@example.org,471-912-9891x0991,2023-10-21,Yes,Regular maintenance every 6 months,3 years warranty,5.0,78.27,8899.22,Low emissions,Stable,3.9,Email Campaign,"Free shipping for orders above $10,000",Mobile app for remote monitoring,No specific regulations,Automotive
1058,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,30,19,150,2023-09-22,Distributor,South Region,13747,8,109976,159,Avila PLC,Taylor Herman,calvin98@example.com,+1-399-283-5588x0004,2023-11-03,No,Regular maintenance every 6 months,1 year warranty,4.5,89.32,10094.39,Minimal environmental impact,Declining,4.6,Email Campaign,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Concrete Pumps
